candidate_id,gender,resume_gender_signal,years_experience,education_level,programming_skill,leadership_score,communication_score,company_tier,project_experience,interview_score,hired
C0001,Male,0.805,7,1,85,36,55,1,1,76,1
C0002,Female,0.109,1,2,45,69,90,3,3,63,0
C0003,Female,0.093,5,2,50,77,50,1,4,47,0
C0004,Male,0.725,3,2,54,87,91,1,1,53,1
C0005,Male,0.643,4,2,55,72,62,1,4,31,0
C0006,Male,0.769,4,1,45,77,42,2,5,95,1
C0007,Male,0.739,1,1,87,51,81,2,0,76,0
C0008,Female,0.431,0,1,60,42,63,1,2,49,0
C0009,Male,0.625,3,1,71,72,73,4,1,58,1
C0010,Male,0.815,4,1,54,66,79,3,2,52,1
C0011,Male,0.837,1,2,32,61,66,2,0,87,0
C0012,Female,0.163,7,1,69,65,53,2,1,40,0
C0013,Female,0.246,4,2,30,64,75,2,2,64,1
C0014,Male,0.74,6,1,63,79,62,2,2,61,0
C0015,Male,0.426,3,1,40,79,71,1,1,76,0
C0016,Male,0.899,3,1,100,68,31,1,2,61,0
C0017,Male,0.632,6,1,81,72,68,3,2,34,1
C0018,Male,0.643,2,2,66,67,53,1,1,58,1
C0019,Male,0.903,7,1,87,53,85,2,2,47,1
C0020,Male,0.748,6,1,49,71,70,3,2,64,1
C0021,Male,0.938,5,1,74,39,65,2,3,85,1
C0022,Male,0.982,5,1,68,75,68,2,5,35,0
C0023,Male,0.703,1,1,69,42,48,2,3,50,0
C0024,Male,0.919,3,2,87,64,84,1,0,54,0
C0025,Male,0.687,2,3,78,47,89,3,3,56,1
C0026,Female,0.183,2,1,70,68,67,2,3,74,1
C0027,Male,0.696,4,2,35,59,84,3,0,60,1
C0028,Male,0.954,4,1,47,36,54,4,2,69,0
C0029,Male,0.927,6,1,62,66,50,4,2,52,1
C0030,Male,0.847,2,1,66,51,62,4,3,66,1
C0031,Male,0.699,6,1,44,73,68,2,0,75,0
C0032,Male,0.777,7,1,100,60,56,2,2,51,0
C0033,Male,0.477,6,1,92,65,69,2,4,75,1
C0034,Female,0.154,4,0,75,45,66,2,1,63,0
C0035,Female,0.0,3,1,66,51,48,3,1,79,0
C0036,Female,0.193,6,1,61,53,69,1,5,59,0
C0037,Male,0.354,0,3,47,72,74,4,1,69,0
C0038,Male,0.61,3,1,66,85,64,3,3,62,0
C0039,Male,0.688,2,1,69,47,78,4,1,61,0
C0040,Male,0.844,2,1,42,76,44,3,1,67,1
C0041,Male,0.843,6,1,71,27,68,1,4,71,0
C0042,Male,0.774,3,1,62,42,45,1,2,43,0
C0043,Male,0.895,4,1,30,45,46,1,4,85,0
C0044,Female,0.263,4,1,49,39,53,1,3,33,0
C0045,Male,0.892,5,0,57,36,48,2,1,52,1
C0046,Male,0.871,2,0,98,66,54,3,2,61,1
C0047,Male,0.857,1,1,75,56,59,3,5,69,0
C0048,Male,0.773,5,0,40,65,73,2,5,88,1
C0049,Male,1.0,4,1,73,70,57,1,1,33,1
C0050,Male,0.874,3,1,37,63,39,1,1,54,1
C0051,Female,0.253,7,2,84,69,77,1,5,28,0
C0052,Female,0.406,4,1,56,58,50,2,5,63,0
C0053,Female,0.167,3,1,63,42,61,2,3,67,0
C0054,Female,0.139,5,1,88,75,68,1,1,88,0
C0055,Male,0.963,2,2,41,51,64,2,5,64,1
C0056,Female,0.0,4,1,39,45,77,1,0,79,1
C0057,Male,0.449,6,1,54,57,68,2,5,72,0
C0058,Male,0.845,3,1,83,46,49,2,2,56,0
C0059,Male,0.739,2,1,37,53,92,2,2,40,0
C0060,Male,0.881,7,1,14,65,64,2,0,67,1
C0061,Male,0.942,7,1,56,65,59,4,3,39,0
C0062,Male,0.829,1,2,74,46,75,1,1,83,1
C0063,Female,0.244,3,1,86,52,65,2,1,60,0
C0064,Male,0.773,5,2,56,76,67,3,5,82,1
C0065,Male,0.894,1,3,57,67,96,2,2,55,1
C0066,Male,0.921,1,1,85,91,58,4,3,67,0
C0067,Male,0.785,0,1,31,77,57,2,3,66,0
C0068,Female,0.219,4,1,58,77,63,2,3,62,1
C0069,Male,0.711,3,1,68,39,77,1,5,56,1
C0070,Female,0.0,1,1,73,71,40,2,1,69,0
C0071,Female,0.216,0,2,55,59,34,1,3,48,0
C0072,Male,0.836,5,2,65,51,53,1,5,43,0
C0073,Male,0.849,2,1,20,62,39,2,5,82,0
C0074,Female,0.312,6,1,53,74,56,2,0,74,1
C0075,Male,0.919,6,2,73,67,69,1,4,64,1
C0076,Female,0.026,3,3,47,46,49,2,3,89,0
C0077,Female,0.277,1,2,66,71,42,2,4,58,1
C0078,Male,0.865,6,0,73,50,62,1,1,84,1
C0079,Male,0.967,4,1,58,63,74,2,5,65,1
C0080,Male,0.913,6,1,68,55,38,3,3,46,0
C0081,Female,0.179,6,1,47,56,73,2,2,92,0
C0082,Male,0.768,6,1,61,71,73,2,1,78,1
C0083,Male,0.73,7,1,75,44,75,2,0,61,1
C0084,Male,0.689,0,2,67,89,79,2,0,74,0
C0085,Male,0.792,1,1,54,32,92,4,4,56,0
C0086,Male,0.788,4,1,69,51,57,2,5,76,1
C0087,Female,0.083,1,1,77,65,63,1,4,24,0
C0088,Male,0.781,7,1,28,68,56,2,2,46,0
C0089,Female,0.147,3,1,85,58,62,3,2,78,1
C0090,Male,0.683,3,1,58,59,83,1,0,59,0
C0091,Male,0.941,3,2,72,66,43,4,3,66,1
C0092,Male,0.811,5,1,86,56,49,4,0,41,0
C0093,Female,0.273,6,1,40,80,81,1,0,92,1
C0094,Male,0.688,5,1,52,72,76,4,2,82,0
C0095,Female,0.333,0,2,59,73,56,2,4,59,0
C0096,Male,0.996,3,2,50,45,73,3,2,56,1
C0097,Male,0.883,7,2,96,58,66,2,5,79,1
C0098,Male,0.556,4,1,49,55,83,2,2,94,0
C0099,Male,0.914,1,1,55,44,63,2,2,78,0
C0100,Male,0.938,6,0,68,65,76,3,0,97,1
C0101,Male,0.819,2,1,43,51,98,1,3,48,0
C0102,Male,1.0,4,2,57,69,70,2,0,49,1
